Test : Rate 1,"1.50000",mm/min
Test : Rate 2,"-5.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"73.50000","1.83753","2.70340"
"73.60000","1.84002","2.73237"
"73.70000","1.84263","2.69249"
"73.80000","1.84501","2.73529"
"73.90000","1.84750","2.75761"
"74.00000","1.85011","2.72602"
"74.10000","1.85266","2.75780"
"74.20000","1.85504","2.74171"
"74.30000","1.85759","2.72192"
"74.40000","1.86008","2.77240"
"74.50000","1.86263","2.78377"
"74.60000","1.86518","2.76825"
"74.70000","1.86745","2.74143"
"74.80000","1.87011","2.76912"
"74.90000","1.87261","2.80330"
"75.00000","1.87510","2.76426"
"75.10000","1.87754","2.76834"
"75.20000","1.88003","2.78447"
"75.30000","1.88252","2.76602"
"75.40000","1.88513","2.80617"
"75.50000","1.88751","2.81386"
"75.60000","1.89000","2.80539"
"75.70000","1.89255","2.80844"
"75.80000","1.89510","2.78173"
"75.90000","1.89760","2.79143"
"76.00000","1.89998","2.81590"
"76.10000","1.90253","2.81040"
"76.20000","1.90508","2.80504"
"76.30000","1.90763","2.78656"
"76.40000","1.91006","2.78753"
"76.50000","1.91256","2.78880"
"76.60000","1.91505","2.77116"
"76.70000","1.91760","2.81964"
"76.80000","1.92015","2.84125"
"76.90000","1.92259","2.80957"
"77.00000","1.92508","2.82908"
"77.10000","1.92763","2.82574"
"77.20000","1.93012","2.81344"
"77.30000","1.93250","2.82832"
"77.40000","1.93500","2.81925"
"77.50000","1.93755","2.83774"
"77.60000","1.94015","2.77926"
"77.70000","1.94253","2.83895"
"77.80000","1.94497","2.85859"
"77.90000","1.94752","2.86789"
"78.00000","1.95007","2.85622"
"78.10000","1.95256","2.87646"
"78.20000","1.95500","2.83768"
"78.30000","1.95755","2.85611"
"78.40000","1.96004","2.83169"
"78.50000","1.96259","2.87784"
"78.60000","1.96514","2.86530"
"78.70000","1.96752","2.87364"
"78.80000","1.97002","2.85322"
"78.90000","1.97257","2.85840"
"79.00000","1.97506","2.86765"
"79.10000","1.97755","2.83739"
"79.20000","1.98005","2.85679"
"79.30000","1.98265","2.89213"
"79.40000","1.98503","2.85218"
"79.50000","1.98753","2.88749"
"79.60000","1.99002","2.88320"
"79.70000","1.99257","2.85951"
"79.80000","1.99501","2.93066"
"79.90000","1.99756","2.86209"
"80.00000","2.00005","2.87496"
"80.10000","2.00254","2.91931"
"80.20000","2.00509","2.94107"
"80.30000","2.00747","2.90684"
"80.40000","2.01002","2.91540"
