Test : Rate 1,"1.50000",mm/min
Test : Rate 2,"-5.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"57.10000","1.42749","1.87042"
"57.20000","1.42998","1.91862"
"57.30000","1.43248","1.90476"
"57.40000","1.43503","1.92709"
"57.50000","1.43758","1.89041"
"57.60000","1.44007","1.92326"
"57.70000","1.44256","1.92743"
"57.80000","1.44511","1.92076"
"57.90000","1.44761","1.89723"
"58.00000","1.44999","1.89793"
"58.10000","1.45248","1.92857"
"58.20000","1.45503","1.95430"
"58.30000","1.45758","1.93582"
"58.40000","1.45996","1.94191"
"58.50000","1.46245","1.93119"
"58.60000","1.46500","1.93095"
"58.70000","1.46761","1.93431"
"58.80000","1.47005","1.93995"
"58.90000","1.47248","1.91633"
"59.00000","1.47498","1.94922"
"59.10000","1.47753","1.93222"
"59.20000","1.48008","1.90913"
"59.30000","1.48257","1.95038"
"59.40000","1.48501","1.95382"
"59.50000","1.48756","1.93614"
"59.60000","1.49005","1.93976"
"59.70000","1.49249","1.95682"
"59.80000","1.49504","1.94374"
"59.90000","1.49753","1.95235"
"60.00000","1.50014","2.00365"
"60.10000","1.50246","1.97876"
"60.20000","1.50501","1.98346"
"60.30000","1.50750","1.96881"
"60.40000","1.51011","2.02216"
"60.50000","1.51255","1.96470"
"60.60000","1.51504","1.96776"
"60.70000","1.51753","2.00089"
"60.80000","1.52003","1.99482"
"60.90000","1.52258","2.02158"
"61.00000","1.52501","1.99200"
"61.10000","1.52751","2.00727"
"61.20000","1.53000","1.96130"
"61.30000","1.53255","1.99042"
"61.40000","1.53499","2.03768"
"61.50000","1.53748","2.03012"
"61.60000","1.54009","1.99908"
"61.70000","1.54258","1.98731"
"61.80000","1.54502","1.99495"
"61.90000","1.54751","1.99851"
"62.00000","1.55006","2.02845"
"62.10000","1.55267","2.06382"
"62.20000","1.55505","2.02720"
"62.30000","1.55754","1.99527"
"62.40000","1.56003","2.00797"
"62.50000","1.56253","2.03312"
"62.60000","1.56508","2.01534"
"62.70000","1.56751","2.03153"
"62.80000","1.56995","1.99573"
"62.90000","1.57261","2.00250"
"63.00000","1.57511","2.03586"
"63.10000","1.57754","2.05010"
"63.20000","1.57998","2.03181"
"63.30000","1.58253","2.03209"
"63.40000","1.58508","2.05032"
"63.50000","1.58757","2.04400"
"63.60000","1.58995","2.02560"
"63.70000","1.59250","2.07313"
"63.80000","1.59517","2.06538"
"63.90000","1.59755","2.05294"
"64.00000","1.59993","2.06792"
"64.10000","1.60253","2.05778"
"64.20000","1.60497","2.07026"
"64.30000","1.60763","2.05699"
"64.40000","1.61007","2.06130"
"64.50000","1.61251","2.12132"
"64.60000","1.61506","2.09502"
"64.70000","1.61761","2.08957"
"64.80000","1.62004","2.08586"
"64.90000","1.62248","2.13735"
"65.00000","1.62497","2.07791"
"65.10000","1.62758","2.11376"
"65.20000","1.63007","2.06707"
"65.30000","1.63245","2.06885"
"65.40000","1.63500","2.12658"
"65.50000","1.63761","2.11531"
"65.60000","1.64010","2.12533"
"65.70000","1.64254","2.13257"
"65.80000","1.64498","2.09439"
"65.90000","1.64753","2.09446"
"66.00000","1.65013","2.10096"
"66.10000","1.65257","2.14354"
"66.20000","1.65501","2.14317"
"66.30000","1.65750","2.12433"
"66.40000","1.66005","2.13521"
"66.50000","1.66254","2.13913"
"66.60000","1.66504","2.14461"
"66.70000","1.66747","2.13569"
"66.80000","1.67002","2.17146"
"66.90000","1.67257","2.12164"
"67.00000","1.67507","2.15631"
"67.10000","1.67750","2.14577"
"67.20000","1.68000","2.15856"
"67.30000","1.68255","2.15522"
"67.40000","1.68510","2.18219"
"67.50000","1.68748","2.16461"
"67.60000","1.68997","2.15357"
"67.70000","1.69258","2.14540"
"67.80000","1.69507","2.16468"
"67.90000","1.69751","2.18624"
"68.00000","1.70006","2.15952"
"68.10000","1.70255","2.21788"
"68.20000","1.70504","2.18183"
"68.30000","1.70759","2.19233"
"68.40000","1.71009","2.17458"
"68.50000","1.71252","2.19339"
"68.60000","1.71513","2.18599"
"68.70000","1.71751","2.17425"
"68.80000","1.72006","2.21044"
"68.90000","1.72261","2.21555"
